book_id,file_name,title_guess,category_guess,source_type,priority,size_mb,modified_at,extract_status,processing_status,notes
book_f92fc2776aea,29. Analisis Teknikal Dasar.pdf,29 Analisis Teknikal Dasar,supporting,supporting_reference,medium,1.46,2026-06-23T15:26:23+07:00,pending,not_processed,
book_0d5659f7ae5a,3. Bandarmology vs Teknikal.pdf,3 Bandarmology vs Teknikal,volume_price_analysis,volume_reference,high,11.37,2026-06-23T15:21:02+07:00,pending,not_processed,
book_fe61e93ec651,30. BELAJAR SNR.pdf,30 BELAJAR SNR,support_resistance,technical_reference,high,6.43,2026-06-23T15:26:28+07:00,pending,not_processed,
book_573ec2dc391b,31. Fibo.pdf,31 Fibo,fibonacci_analysis,graph_theory_reference,high,0.69,2026-06-23T15:26:35+07:00,pending,not_processed,
book_0c51eab9ac9e,32. Fibonacci Turning points.pdf,32 Fibonacci Turning points,fibonacci_analysis,graph_theory_reference,high,3.16,2026-06-23T15:26:43+07:00,pending,not_processed,
book_32059057166b,33. Harmonic pattern.pdf,33 Harmonic pattern,harmonic_pattern,graph_theory_reference,high,0.67,2026-06-23T15:26:50+07:00,pending,not_processed,
book_23dce53ed3bb,34. Ichimoku chart.pdf,34 Ichimoku chart,supporting,supporting_reference,medium,2.27,2026-06-23T15:27:20+07:00,pending,not_processed,
book_38bf225efa8d,"35. MS, ALGO, FIBO, OB.pdf","35 MS, ALGO, FIBO, OB",fibonacci_analysis,graph_theory_reference,high,0.42,2026-06-23T15:27:21+07:00,pending,not_processed,
book_2e4fd1b8efd1,36. Phantom SD Structure Entry ChoCh Flip.pdf,36 Phantom SD Structure Entry ChoCh Flip,supporting,supporting_reference,medium,4.32,2026-06-23T15:28:05+07:00,pending,not_processed,
book_36031d511ddb,37. Power Of Three.pdf,37 Power Of Three,supporting,supporting_reference,medium,0.15,2026-06-23T15:27:43+07:00,pending,not_processed,
book_c66c78a903d8,38. Supply and Demand.pdf,38 Supply and Demand,support_resistance,technical_reference,high,1.3,2026-06-23T15:27:49+07:00,pending,not_processed,
book_caf55593d865,39. Supply&Demand.pdf,39 Supply&Demand,support_resistance,technical_reference,high,1.33,2026-06-23T15:27:53+07:00,pending,not_processed,
book_773fd3fef662,4. Indikator Supply & Demand (SND).pdf,4 Indikator Supply & Demand (SND),support_resistance,technical_reference,high,2.67,2026-06-23T15:21:05+07:00,pending,not_processed,
book_5892422f93bc,40. Candle Range Theory.pdf,40 Candle Range Theory,candlestick_pattern,technical_reference,high,2.76,2026-06-23T15:28:38+07:00,pending,not_processed,
book_f9bd6a938c0b,41. Dealing Range .pdf,41 Dealing Range,supporting,supporting_reference,medium,4.03,2026-06-23T15:28:43+07:00,pending,not_processed,
book_08bfe1690e34,42. Fair Value Gap & Breaker.pdf,42 Fair Value Gap & Breaker,supporting,supporting_reference,medium,1.09,2026-06-23T15:30:31+07:00,pending,not_processed,
book_caedde189a18,43. High Probability Condition.pdf,43 High Probability Condition,supporting,supporting_reference,medium,0.53,2026-06-23T15:30:31+07:00,pending,not_processed,
book_17e436f00ef9,44. Inducement Cycle.pdf,44 Inducement Cycle,supporting,supporting_reference,medium,22.14,2026-06-23T15:31:06+07:00,pending,not_processed,
book_ee920fcedf76,45. Institutional Price Action - Cheat Sheet.pdf,45 Institutional Price Action Cheat Sheet,supporting,supporting_reference,medium,0.64,2026-06-23T15:31:00+07:00,pending,not_processed,
book_81672787bcf8,46. Penjelasan apa itu Order Block.pdf,46 Penjelasan apa itu Order Block,supporting,supporting_reference,medium,0.39,2026-06-23T15:31:33+07:00,pending,not_processed,
book_588d640c09d0,47. SMART MONEY CONCEPTS.pdf,47 SMART MONEY CONCEPTS,supporting,supporting_reference,medium,1.84,2026-06-23T15:31:40+07:00,pending,not_processed,
book_72c22db4b50f,48. SMT CONCEPT.pdf,48 SMT CONCEPT,supporting,supporting_reference,medium,0.3,2026-06-23T15:31:40+07:00,pending,not_processed,
book_3721b0cbff29,49. Struktur.pdf,49 Struktur,supporting,supporting_reference,medium,6.37,2026-06-23T15:33:16+07:00,pending,not_processed,
book_f8a9dc8bd23a,5. Kitab Pola Candlestick.pdf,5 Kitab Pola Candlestick,candlestick_pattern,technical_reference,high,1.52,2026-06-23T15:21:16+07:00,pending,not_processed,
book_16ef7be32fcc,50. Technical Analysis By Learn Crypto.pdf,50 Technical Analysis By Learn Crypto,supporting,supporting_reference,medium,11.67,2026-06-23T15:33:22+07:00,pending,not_processed,
